type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,118890,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37772874,0,100,0,128,0,"['0', '0', '0', '-8', '-1', '-9', '-2', '-9', '-4', '-9', '-6', '-10', '-7', '-11', '-9', '-11', '-10', '-12', '-12', '-13', '-13', '-13', '-14', '-14', '-15', '-14', '-16', '-14', '-17', '-15', '-16', '-16', '-16', '-16', '-16', '-16', '-15', '-16', '-14', '-16', '-13', '-15', '-12', '-14', '-11', '-14', '-11', '-13', '-10', '-12', '-10', '-12', '-9', '-12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '4', '-1', '5', '-1', '6', '-2', '7', '-3', '7', '-3', '8', '-3', '8', '-3', '9', '-3', '9', '-3', '9', '-3', '9', '-2', '9', '-3', '9', '-3', '8', '-4', '7', '-4', '6', '-4', '4', '-3', '2', '-3', '0', '-2', '-2', '-1', '-3', '0', '-4', '0', '-6', '1', '-6', '1', '-7']"
CSI_DATA,118891,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37800353,0,100,0,128,0,"['0', '0', '0', '-8', '-1', '-9', '-3', '-9', '-4', '-10', '-6', '-11', '-8', '-11', '-9', '-12', '-11', '-13', '-13', '-14', '-14', '-15', '-15', '-15', '-16', '-15', '-16', '-16', '-17', '-16', '-18', '-17', '-17', '-18', '-16', '-18', '-15', '-18', '-14', '-17', '-13', '-17', '-13', '-16', '-12', '-14', '-12', '-14', '-11', '-13', '-10', '-13', '-10', '-13', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '4', '0', '5', '-1', '6', '-2', '7', '-3', '8', '-3', '8', '-3', '9', '-3', '10', '-3', '9', '-4', '10', '-4', '10', '-3', '10', '-3', '10', '-4', '9', '-4', '8', '-4', '6', '-4', '5', '-3', '3', '-3', '0', '-2', '-2', '-1', '-3', '-1', '-5', '1', '-6', '1', '-7', '1', '-8']"
CSI_DATA,118892,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37814218,0,100,0,128,0,"['0', '0', '-6', '4', '-6', '5', '-5', '6', '-4', '8', '-3', '9', '-3', '11', '-2', '13', '-1', '14', '-1', '16', '0', '18', '0', '19', '0', '20', '0', '20', '1', '21', '0', '22', '0', '21', '-1', '22', '-1', '21', '-1', '20', '-2', '18', '-2', '17', '-1', '16', '-1', '16', '-1', '15', '-1', '14', '-2', '14', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '-3', '2', '-4', '4', '-4', '5', '-4', '6', '-4', '7', '-4', '8', '-4', '8', '-4', '8', '-4', '8', '-4', '9', '-5', '9', '-5', '9', '-5', '9', '-4', '8', '-4', '8', '-3', '7', '-2', '6', '-1', '4', '0', '2', '1', '0', '2', '-2', '2', '-4', '2', '-5', '3', '-6', '3', '-6', '3']"
CSI_DATA,118893,d0:15:a6:d5:17:16,-56,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37832866,0,100,0,128,0,"['0', '0', '8', '-1', '8', '-2', '8', '-4', '9', '-5', '10', '-7', '10', '-9', '11', '-12', '11', '-13', '12', '-15', '13', '-17', '14', '-18', '14', '-19', '15', '-20', '14', '-21', '15', '-21', '15', '-21', '16', '-20', '16', '-19', '15', '-18', '14', '-17', '13', '-16', '12', '-15', '12', '-15', '12', '-14', '11', '-13', '11', '-12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-4', '1', '-5', '0', '-7', '-1', '-8', '-2', '-9', '-3', '-9', '-3', '-10', '-3', '-10', '-3', '-11', '-3', '-11', '-4', '-11', '-3', '-12', '-3', '-12', '-4', '-11', '-4', '-10', '-4', '-9', '-4', '-8', '-4', '-6', '-4', '-3', '-3', '-2', '-3', '0', '-2', '2', '-2', '4', '0', '5', '0', '6', '1', '7', '1']"
CSI_DATA,118894,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,0,-91,0,1,0,37843368,0,100,0,128,0,"['0', '0', '-8', '1', '-8', '1', '-9', '3', '-9', '4', '-9', '7', '-10', '9', '-10', '10', '-10', '12', '-11', '14', '-11', '16', '-11', '17', '-12', '18', '-12', '19', '-12', '20', '-13', '20', '-13', '20', '-14', '19', '-14', '18', '-13', '17', '-12', '16', '-12', '15', '-11', '14', '-11', '13', '-10', '13', '-10', '12', '-10', '12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '-2', '4', '-2', '6', '-1', '6', '0', '7', '1', '8', '1', '9', '1', '9', '1', '9', '1', '9', '1', '10', '1', '11', '0', '10', '1', '10', '1', '9', '1', '9', '1', '7', '2', '5', '2', '3', '2', '1', '2', '-1', '1', '-3', '1', '-5', '0', '-6', '-1', '-7', '-1', '-7', '-1']"
CSI_DATA,118895,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37861073,0,100,0,128,0,"['0', '0', '7', '-3', '7', '-4', '7', '-5', '7', '-7', '7', '-9', '7', '-11', '7', '-12', '7', '-14', '7', '-17', '8', '-18', '8', '-19', '8', '-20', '8', '-21', '9', '-22', '9', '-22', '9', '-22', '10', '-21', '10', '-21', '10', '-20', '10', '-18', '9', '-17', '8', '-16', '8', '-15', '8', '-14', '8', '-14', '8', '-14', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '2', '-5', '2', '-6', '1', '-7', '1', '-8', '0', '-9', '0', '-10', '0', '-10', '0', '-11', '1', '-11', '0', '-11', '1', '-11', '0', '-11', '0', '-11', '0', '-10', '-1', '-9', '-1', '-8', '-1', '-6', '-2', '-4', '-3', '-2', '-3', '0', '-2', '2', '-2', '3', '-1', '5', '-1', '6', '-1', '7', '-2']"
CSI_DATA,118896,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37879697,0,100,0,128,0,"['0', '0', '-3', '-8', '-4', '-8', '-5', '-8', '-7', '-8', '-9', '-8', '-10', '-8', '-13', '-8', '-14', '-8', '-16', '-9', '-18', '-9', '-19', '-9', '-20', '-9', '-21', '-9', '-22', '-9', '-22', '-10', '-22', '-11', '-21', '-11', '-20', '-11', '-19', '-11', '-18', '-11', '-17', '-10', '-16', '-9', '-15', '-9', '-14', '-8', '-14', '-9', '-13', '-9', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '1', '4', '1', '5', '0', '7', '0', '8', '-1', '8', '-1', '9', '-1', '9', '-1', '10', '0', '10', '-1', '10', '-1', '10', '0', '10', '0', '10', '-1', '9', '-2', '8', '-2', '7', '-3', '5', '-3', '3', '-2', '1', '-2', '-1', '-2', '-3', '-2', '-4', '-1', '-6', '-1', '-7', '-2', '-7']"
CSI_DATA,118897,d0:15:a6:d5:17:16,-56,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37888819,0,100,0,128,0,"['0', '0', '7', '3', '7', '1', '9', '0', '10', '-1', '11', '-3', '12', '-4', '13', '-6', '14', '-8', '16', '-9', '17', '-10', '18', '-11', '19', '-12', '19', '-13', '20', '-13', '21', '-12', '21', '-12', '21', '-11', '20', '-11', '20', '-9', '19', '-9', '18', '-8', '17', '-8', '15', '-8', '15', '-7', '14', '-7', '14', '-6', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-4', '1', '-5', '-1', '-6', '-3', '-7', '-4', '-7', '-4', '-8', '-5', '-9', '-5', '-9', '-6', '-9', '-6', '-9', '-6', '-9', '-6', '-10', '-6', '-9', '-6', '-10', '-6', '-9', '-6', '-8', '-6', '-7', '-5', '-4', '-5', '-3', '-4', '-1', '-3', '1', '-1', '2', '0', '4', '1', '4', '2', '5', '3', '6', '3']"
CSI_DATA,118898,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37915408,0,100,0,128,0,"['0', '0', '-3', '-8', '-4', '-8', '-5', '-8', '-7', '-8', '-8', '-8', '-10', '-8', '-12', '-8', '-14', '-8', '-15', '-9', '-17', '-8', '-18', '-9', '-19', '-9', '-20', '-9', '-20', '-9', '-21', '-10', '-20', '-10', '-20', '-11', '-19', '-11', '-18', '-11', '-17', '-10', '-16', '-10', '-15', '-9', '-14', '-9', '-14', '-8', '-13', '-8', '-13', '-8', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '1', '3', '1', '5', '1', '6', '0', '7', '-1', '7', '-1', '8', '-1', '9', '-1', '9', '0', '9', '0', '9', '0', '9', '0', '10', '0', '9', '0', '9', '-1', '8', '-2', '6', '-2', '5', '-2', '3', '-2', '1', '-2', '-1', '-2', '-3', '-2', '-4', '-1', '-6', '-1', '-7', '-1', '-7']"
CSI_DATA,118899,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,0,-91,0,1,0,37934852,0,100,0,128,0,"['0', '0', '3', '6', '4', '6', '6', '6', '8', '5', '9', '4', '11', '4', '12', '3', '14', '3', '16', '3', '17', '3', '18', '3', '20', '2', '20', '2', '21', '2', '22', '3', '21', '3', '21', '3', '20', '4', '19', '4', '18', '4', '17', '4', '16', '3', '15', '3', '15', '3', '14', '3', '14', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '-2', '-3', '-3', '-3', '-6', '-3', '-6', '-3', '-8', '-3', '-8', '-2', '-9', '-3', '-9', '-3', '-9', '-4', '-10', '-3', '-9', '-4', '-10', '-4', '-10', '-3', '-10', '-3', '-9', '-2', '-8', '-1', '-7', '0', '-6', '0', '-5', '1', '-3', '1', '-1', '1', '1', '2', '3', '2', '4', '2', '5', '2', '6']"
CSI_DATA,118900,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37949859,0,100,0,128,0,"['0', '0', '-8', '1', '-8', '2', '-8', '4', '-8', '5', '-8', '7', '-9', '9', '-9', '10', '-9', '12', '-9', '14', '-10', '16', '-10', '17', '-10', '18', '-11', '19', '-11', '19', '-11', '20', '-11', '20', '-12', '20', '-12', '19', '-12', '17', '-11', '16', '-11', '15', '-11', '14', '-10', '13', '-9', '13', '-10', '12', '-10', '12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '-3', '4', '-2', '5', '-2', '6', '-1', '7', '-1', '8', '0', '8', '0', '9', '0', '9', '0', '9', '0', '9', '0', '10', '-1', '10', '0', '9', '0', '9', '0', '8', '0', '6', '1', '5', '0', '3', '1', '1', '1', '-1', '1', '-3', '0', '-5', '0', '-6', '0', '-7', '-1', '-7', '0']"
CSI_DATA,118901,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37982401,0,100,0,128,0,"['0', '0', '0', '-8', '-1', '-8', '-2', '-9', '-4', '-9', '-5', '-11', '-7', '-11', '-9', '-11', '-10', '-12', '-12', '-13', '-13', '-13', '-14', '-14', '-15', '-15', '-16', '-15', '-17', '-16', '-16', '-16', '-17', '-17', '-15', '-16', '-15', '-17', '-14', '-16', '-13', '-15', '-12', '-15', '-11', '-13', '-11', '-12', '-11', '-12', '-10', '-12', '-10', '-12', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '-1', '4', '-1', '5', '-2', '6', '-3', '6', '-4', '7', '-4', '8', '-5', '8', '-4', '8', '-4', '8', '-4', '9', '-4', '9', '-4', '9', '-4', '9', '-4', '8', '-5', '7', '-5', '6', '-4', '4', '-4', '2', '-3', '0', '-2', '-2', '-1', '-3', '0', '-5', '1', '-5', '1', '-6', '1', '-7']"
CSI_DATA,118902,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,37991472,0,100,0,128,0,"['0', '0', '-5', '6', '-5', '7', '-4', '8', '-3', '10', '-1', '11', '0', '13', '1', '14', '2', '16', '3', '18', '4', '19', '5', '20', '5', '21', '6', '22', '5', '23', '5', '23', '5', '24', '4', '23', '4', '23', '3', '22', '2', '21', '2', '19', '2', '18', '2', '17', '2', '16', '2', '16', '1', '16', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-4', '2', '-5', '3', '-5', '5', '-5', '5', '-6', '7', '-6', '8', '-6', '8', '-7', '8', '-7', '7', '-7', '8', '-8', '8', '-8', '7', '-8', '8', '-7', '8', '-7', '8', '-5', '7', '-4', '5', '-3', '4', '-1', '2', '0', '0', '2', '-2', '2', '-3', '3', '-5', '4', '-5', '5', '-6', '5']"
CSI_DATA,118903,d0:15:a6:d5:17:16,-55,11,1,6,0,0,1,0,1,0,1,-91,0,1,0,38009550,0,100,0,128,0,"['0', '0', '-4', '-6', '-6', '-6', '-6', '-7', '-9', '-6', '-11', '-5', '-12', '-5', '-14', '-4', '-16', '-4', '-18', '-3', '-20', '-4', '-21', '-3', '-21', '-3', '-22', '-3', '-23', '-3', '-24', '-4', '-23', '-4', '-23', '-5', '-22', '-5', '-21', '-5', '-20', '-5', '-19', '-5', '-18', '-4', '-17', '-5', '-16', '-4', '-16', '-5', '-15', '-5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '1', '3', '2', '3', '4', '3', '5', '3', '7', '3', '7', '2', '8', '3', '8', '3', '9', '4', '8', '4', '9', '3', '9', '4', '9', '3', '8', '3', '8', '2', '8', '1', '6', '0', '5', '0', '3', '-1', '2', '-1', '-1', '-2', '-1', '-3', '-4', '-1', '-5', '-3', '-6', '-3', '-7']"
CSI_DATA,118904,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38017822,0,100,0,128,0,"['0', '0', '-7', '-4', '-8', '-4', '-8', '-3', '-10', '-2', '-11', '-1', '-13', '0', '-14', '1', '-16', '2', '-17', '3', '-18', '4', '-19', '5', '-20', '5', '-21', '6', '-21', '6', '-22', '6', '-22', '6', '-23', '5', '-21', '4', '-21', '4', '-20', '3', '-19', '3', '-18', '3', '-17', '3', '-16', '3', '-15', '2', '-15', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '4', '1', '4', '3', '5', '4', '5', '5', '5', '6', '5', '6', '5', '7', '6', '6', '6', '7', '6', '6', '6', '6', '6', '7', '6', '7', '5', '7', '5', '6', '3', '5', '2', '4', '0', '3', '-1', '2', '-2', '0', '-3', '-1', '-4', '-3', '-4', '-4', '-4', '-5', '-5', '-5']"
CSI_DATA,118905,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38041103,0,100,0,128,0,"['0', '0', '0', '-8', '-1', '-8', '-2', '-9', '-4', '-10', '-5', '-11', '-7', '-11', '-9', '-12', '-10', '-13', '-12', '-13', '-13', '-14', '-14', '-15', '-15', '-16', '-16', '-16', '-16', '-17', '-16', '-17', '-16', '-18', '-15', '-18', '-15', '-18', '-14', '-17', '-12', '-17', '-12', '-16', '-11', '-15', '-11', '-14', '-10', '-14', '-9', '-13', '-9', '-14', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '4', '-1', '6', '-2', '6', '-2', '7', '-3', '7', '-3', '8', '-4', '8', '-4', '8', '-3', '9', '-3', '9', '-3', '9', '-2', '9', '-3', '9', '-3', '8', '-4', '7', '-4', '6', '-4', '4', '-3', '2', '-2', '1', '-1', '-1', '-1', '-3', '0', '-4', '1', '-5', '1', '-7', '2', '-7']"
CSI_DATA,118906,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38050686,0,100,0,128,0,"['0', '0', '3', '-8', '2', '-9', '1', '-10', '0', '-11', '-1', '-12', '-3', '-13', '-4', '-15', '-6', '-16', '-7', '-17', '-8', '-19', '-9', '-19', '-10', '-20', '-10', '-21', '-10', '-21', '-10', '-23', '-10', '-23', '-9', '-22', '-8', '-22', '-8', '-21', '-7', '-20', '-7', '-19', '-6', '-18', '-6', '-17', '-6', '-16', '-5', '-16', '-5', '-15', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '-2', '4', '-3', '5', '-4', '5', '-5', '6', '-7', '6', '-7', '7', '-8', '7', '-8', '7', '-7', '7', '-8', '8', '-8', '8', '-7', '8', '-7', '7', '-7', '6', '-7', '6', '-7', '4', '-6', '3', '-4', '1', '-3', '-1', '-2', '-2', '0', '-3', '1', '-4', '3', '-5', '3', '-6', '4', '-6']"
CSI_DATA,118907,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38060865,0,100,0,128,0,"['0', '0', '4', '6', '5', '6', '6', '5', '8', '5', '10', '4', '12', '3', '14', '3', '15', '2', '17', '2', '19', '2', '20', '2', '21', '1', '22', '1', '22', '1', '23', '1', '23', '2', '23', '2', '22', '3', '21', '3', '20', '3', '18', '3', '17', '2', '17', '2', '16', '2', '15', '3', '15', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '-2', '-4', '-4', '-3', '-6', '-4', '-7', '-4', '-8', '-3', '-9', '-3', '-9', '-3', '-10', '-3', '-10', '-4', '-10', '-3', '-10', '-4', '-11', '-4', '-11', '-4', '-10', '-3', '-10', '-2', '-9', '-1', '-8', '-1', '-7', '0', '-5', '1', '-3', '1', '-1', '2', '1', '2', '3', '2', '4', '2', '5', '3', '6']"
CSI_DATA,118908,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38097456,0,100,0,128,0,"['0', '0', '-7', '-6', '-7', '-6', '-8', '-5', '-10', '-4', '-11', '-2', '-14', '-1', '-15', '0', '-16', '0', '-18', '1', '-20', '2', '-21', '2', '-22', '3', '-23', '3', '-22', '3', '-24', '4', '-23', '3', '-24', '3', '-23', '2', '-22', '1', '-21', '1', '-19', '1', '-18', '2', '-18', '1', '-17', '1', '-17', '1', '-16', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '1', '3', '2', '3', '5', '4', '5', '4', '7', '3', '7', '3', '8', '4', '8', '4', '8', '4', '9', '4', '9', '5', '8', '5', '9', '4', '9', '4', '8', '3', '8', '2', '6', '1', '5', '0', '4', '-1', '2', '-2', '0', '-3', '-1', '-4', '-3', '-4', '-5', '-4', '-6', '-4', '-6']"
CSI_DATA,118909,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38120014,0,100,0,128,0,"['0', '0', '7', '-2', '7', '-3', '7', '-5', '7', '-7', '7', '-8', '7', '-10', '7', '-12', '8', '-13', '7', '-15', '8', '-17', '8', '-18', '8', '-19', '9', '-20', '9', '-20', '9', '-21', '9', '-20', '10', '-20', '10', '-19', '10', '-18', '9', '-17', '9', '-16', '8', '-15', '8', '-15', '7', '-14', '7', '-13', '8', '-13', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '2', '-5', '1', '-6', '0', '-7', '-1', '-8', '-1', '-9', '-1', '-9', '-1', '-10', '-1', '-10', '-1', '-10', '-1', '-10', '0', '-11', '-1', '-10', '-1', '-10', '-1', '-9', '-2', '-9', '-1', '-7', '-2', '-6', '-2', '-4', '-3', '-2', '-2', '0', '-3', '2', '-2', '4', '-1', '4', '-1', '5', '-1', '7', '-1']"
CSI_DATA,118910,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38138600,0,100,0,128,0,"['0', '0', '7', '-4', '6', '-6', '6', '-7', '6', '-9', '5', '-11', '5', '-13', '5', '-14', '4', '-16', '4', '-18', '4', '-19', '4', '-20', '4', '-22', '4', '-23', '3', '-23', '4', '-24', '4', '-24', '5', '-23', '5', '-22', '5', '-22', '5', '-20', '5', '-18', '5', '-18', '4', '-17', '5', '-16', '4', '-16', '5', '-15', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '3', '-4', '2', '-6', '2', '-7', '2', '-8', '2', '-9', '2', '-10', '2', '-10', '2', '-11', '2', '-11', '2', '-11', '2', '-11', '3', '-11', '2', '-10', '2', '-10', '1', '-9', '1', '-8', '0', '-7', '-1', '-5', '-2', '-2', '-2', '-1', '-3', '1', '-3', '3', '-2', '5', '-3', '6', '-3', '7', '-3']"
CSI_DATA,118911,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38153062,0,100,0,128,0,"['0', '0', '1', '-8', '0', '-8', '-1', '-9', '-3', '-10', '-5', '-11', '-6', '-12', '-7', '-13', '-9', '-14', '-11', '-14', '-11', '-15', '-12', '-16', '-13', '-17', '-14', '-17', '-15', '-18', '-15', '-18', '-14', '-19', '-14', '-18', '-13', '-19', '-12', '-18', '-12', '-17', '-11', '-16', '-10', '-15', '-9', '-14', '-9', '-14', '-9', '-14', '-8', '-14', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '-1', '4', '-2', '5', '-3', '6', '-4', '6', '-5', '7', '-5', '7', '-6', '8', '-6', '8', '-5', '8', '-6', '8', '-6', '9', '-5', '8', '-5', '8', '-5', '8', '-5', '6', '-5', '5', '-5', '4', '-4', '2', '-3', '0', '-2', '-2', '-1', '-3', '0', '-5', '1', '-5', '2', '-6', '2', '-7']"
CSI_DATA,118912,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38175442,0,100,0,128,0,"['0', '0', '-8', '-3', '-10', '-2', '-10', '-1', '-12', '1', '-12', '3', '-13', '4', '-15', '6', '-16', '8', '-17', '9', '-19', '11', '-19', '12', '-20', '12', '-21', '13', '-21', '14', '-22', '13', '-21', '13', '-22', '13', '-21', '12', '-21', '11', '-19', '10', '-18', '10', '-18', '9', '-17', '9', '-16', '8', '-16', '8', '-15', '7', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '-1', '5', '0', '6', '2', '6', '3', '7', '5', '7', '5', '8', '6', '8', '6', '8', '6', '9', '6', '9', '6', '9', '6', '9', '6', '9', '6', '8', '6', '7', '6', '5', '5', '4', '4', '2', '4', '0', '3', '-2', '1', '-4', '0', '-5', '-2', '-6', '-3', '-7', '-4', '-8', '-4']"
CSI_DATA,118913,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38183754,0,100,0,128,0,"['0', '0', '-5', '6', '-4', '7', '-3', '8', '-1', '9', '-1', '10', '1', '11', '2', '13', '3', '14', '4', '16', '5', '16', '6', '18', '6', '18', '6', '20', '7', '20', '6', '21', '6', '21', '5', '20', '5', '20', '4', '19', '4', '18', '3', '17', '3', '16', '3', '15', '3', '15', '2', '15', '2', '14', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-4', '1', '-5', '2', '-5', '4', '-6', '5', '-6', '6', '-7', '6', '-6', '7', '-7', '7', '-7', '6', '-7', '7', '-7', '7', '-8', '6', '-7', '6', '-7', '6', '-6', '6', '-6', '6', '-5', '5', '-3', '3', '-2', '2', '0', '1', '1', '-1', '2', '-2', '3', '-4', '4', '-4', '5', '-5', '4']"
CSI_DATA,118914,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38199071,0,100,0,128,0,"['0', '0', '-3', '-8', '-4', '-8', '-5', '-8', '-7', '-7', '-9', '-7', '-11', '-7', '-13', '-7', '-14', '-7', '-16', '-7', '-17', '-7', '-18', '-7', '-20', '-7', '-20', '-7', '-21', '-7', '-21', '-8', '-21', '-8', '-22', '-8', '-20', '-8', '-19', '-9', '-18', '-9', '-17', '-8', '-16', '-7', '-15', '-6', '-15', '-7', '-14', '-6', '-14', '-7', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '1', '4', '1', '5', '0', '6', '0', '8', '-1', '8', '-1', '9', '-1', '9', '-1', '9', '0', '9', '-1', '9', '0', '9', '0', '10', '0', '9', '0', '9', '-1', '8', '-2', '6', '-2', '5', '-2', '3', '-2', '1', '-3', '-1', '-2', '-3', '-2', '-4', '-2', '-6', '-2', '-6', '-2', '-7']"
CSI_DATA,118915,d0:15:a6:d5:17:16,-55,11,1,7,0,0,1,0,1,0,1,-91,0,1,0,38212066,0,100,0,128,0,"['0', '0', '4', '-7', '2', '-8', '2', '-8', '1', '-10', '0', '-11', '-1', '-13', '-2', '-14', '-3', '-15', '-4', '-17', '-5', '-18', '-6', '-19', '-7', '-19', '-7', '-20', '-7', '-20', '-7', '-21', '-7', '-22', '-6', '-22', '-6', '-21', '-5', '-20', '-4', '-19', '-4', '-18', '-4', '-17', '-4', '-16', '-4', '-15', '-3', '-15', '-3', '-15', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '3', '-3', '4', '-4', '4', '-5', '4', '-6', '5', '-7', '5', '-7', '5', '-8', '5', '-8', '5', '-8', '5', '-8', '6', '-8', '6', '-7', '6', '-7', '6', '-7', '5', '-7', '4', '-7', '3', '-6', '2', '-4', '0', '-3', '-1', '-2', '-2', '0', '-3', '1', '-4', '3', '-5', '3', '-5', '4', '-5']"
